year,round,match_id,game_id,game,player,won,playstyle,final_score,total_lines,no_mullen_score,no_mullen_lines,score_lvl_19_transition,lines_lvl_19_transition,score_lvl_29_transition,lines_lvl_29_transition,score_lvl_39_transition,lines_lvl_39_transition,topout_type,start_level,line_cap,same_piece_sets_active,post,post_post,game_link,twitch,youtube,country_code,country_name
2011,Finals,8,34,1,"Alex Kerr",No,DAS,585575,176,NULL,NULL,468335,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,117240,NULL,https://youtu.be/E0wAjofNk2c?t=110,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2011,Finals,8,35,2,Jonas,Yes,DAS,390180,103,390180,103,NULL,NULL,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,NULL,NULL,https://youtu.be/E0wAjofNk2c?t=614,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2011,Finals,8,36,2,"Alex Kerr",No,DAS,242140,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/E0wAjofNk2c?t=614,https://www.twitch.tv/kitaru,https://www.youtube.com/@KitaruTC,USA,"United States"
2012,"Top 8",9,37,1,"Eli Markstrom",Yes,DAS,635800,187,574795,178,445973,131,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,189827,NULL,https://youtu.be/lxtQmNvhCEw?t=14,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2012,"Top 8",9,38,1,"Josh Tolles",No,DAS,399703,145,NULL,NULL,387463,130,NULL,NULL,NULL,NULL,Natural,18,NULL,No,12240,NULL,https://youtu.be/lxtQmNvhCEw?t=14,https://www.twitch.tv/joshualtolles,https://www.youtube.com/@bigstupidsuck,USA,"United States"
2012,"Top 8",9,39,2,"Eli Markstrom",Yes,DAS,661525,251,661525,251,433862,151,660325,250,NULL,NULL,Natural,13,NULL,No,NULL,NULL,https://youtu.be/lxtQmNvhCEw?t=482,https://www.twitch.tv/elijahn5,https://www.youtube.com/@elijahn5,USA,"United States"
2012,"Top 8",9,40,2,"Josh Tolles",No,DAS,559206,239,NULL,NULL,354706,150,NULL,NULL,NULL,NULL,Natural,13,NULL,No,NULL,NULL,https://youtu.be/lxtQmNvhCEw?t=482,https://www.twitch.tv/joshualtolles,https://www.youtube.com/@bigstupidsuck,USA,"United States"
2012,"Top 8",10,41,1,Jonas,Yes,DAS,545753,167,257651,75,498733,130,NULL,NULL,NULL,NULL,Intentional,18,NULL,No,47020,NULL,https://youtu.be/lxtQmNvhCEw?t=14,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,"Top 8",10,42,1,Quaid,No,DAS,177871,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Natural,18,NULL,No,NULL,NULL,https://youtu.be/lxtQmNvhCEw?t=14,https://www.twitch.tv/bigdaddyquaid,https://www.youtube.com/@I_am_QUAID,USA,"United States"
2012,"Top 8",10,43,2,Jonas,Yes,DAS,487493,214,471933,201,463053,191,NULL,NULL,NULL,NULL,Aggressive,9,NULL,No,NULL,NULL,https://youtu.be/lxtQmNvhCEw?t=482,https://www.twitch.tv/nubbinsgoody,https://www.youtube.com/@JonasTeh81,USA,"United States"
2012,"Top 8",10,44,2,Quaid,No,DAS,426333,248,NULL,NULL,339052,190,NULL,NULL,NULL,NULL,Natural,9,NULL,No,NULL,NULL,https://youtu.be/lxtQmNvhCEw?t=482,https://www.twitch.tv/bigdaddyquaid,https://www.youtube.com/@I_am_QUAID,USA,"United States"
